FECHA;DEPARTAMENTO;MUNICIPIO;TIPO_DE_EVENTO;DIVIPOLA;FALLECIDOS;HERIDOS;DESAPARECIDOS;AFECTADOS;FAMILIAS;VIVIENDAS_DESTRUIDAS;VIVIENDAS_AVERIADAS
1/01/2018;BOYACA;GUATEQUE;INCENDIO FORESTAL;15322;0;0;0;0;0;0;0
1/01/2018;CUNDINAMARCA;GUASCA;DESLIZAMIENTO;25322;0;0;0;0;0;0;0
1/01/2018;QUINDIO;MONTENEGRO;DESLIZAMIENTO;63470;0;1;0;1;0;0;0
1/02/2018;ANTIOQUIA;ANORI;DESLIZAMIENTO;5040;0;0;0;15;3;1;2
1/02/2018;CHOCO;LLORO;ACCIDENTE FLUVIAL;27413;2;0;0;2;0;0;0
1/02/2018;CUNDINAMARCA;UBALA;ACCIDENTE;25839;0;0;1;1;0;0;0
1/02/2018;LA GUAJIRA;ALBANIA;CRECIENTE SÚBITA;44035;0;0;0;335;83;0;83
1/02/2018;META;CUBARRAL;CRECIENTE SÚBITA;50223;4;0;0;4;0;0;0
1/02/2018;META;LA URIBE;VENDAVAL;50370;0;1;0;10;2;0;2
1/03/2018;ANTIOQUIA;PUERTO BERRIO;INCENDIO ESTRUCTURAL;5579;0;0;0;70;14;7;5
1/03/2018;CALDAS;SUPIA;INUNDACIÓN;17777;0;0;0;10;5;0;3
1/03/2018;CALDAS;SUPIA;REMOCIÓN EN MASA;17777;0;0;0;3;1;0;1
1/03/2018;CESAR;CURUMANI;INUNDACIÓN;20228;0;0;0;0;0;0;0
1/03/2018;LA GUAJIRA;BARRANCAS;VENDAVAL;44078;0;0;0;120;24;0;24
1/03/2018;RISARALDA;PUEBLO RICO;DESLIZAMIENTO;66572;0;0;0;0;0;0;0
1/03/2018;TOLIMA;ORTEGA;DESLIZAMIENTO;73504;0;0;0;8;3;1;0
1/03/2018;TOLIMA;ROVIRA;REMOCIÓN EN MASA;73624;0;0;0;5;1;1;0
1/03/2018;TOLIMA;ROVIRA;VENDAVAL;73624;0;0;0;0;0;0;0
1/04/2018;ANTIOQUIA;COCORNA;ACCIDENTE;5197;0;0;1;1;0;0;0
1/04/2018;RISARALDA;QUINCHIA;DESLIZAMIENTO;66594;0;0;0;0;0;0;0
1/04/2018;SANTANDER;PUERTO WILCHES;ACCIDENTE;68575;1;0;0;1;0;0;0
1/05/2018;BOYACA;CHIQUIZA;INCENDIO FORESTAL;15232;0;0;0;0;0;0;0
1/05/2018;CESAR;AGUACHICA;INCENDIO FORESTAL;20011;0;0;0;0;0;0;0
1/05/2018;META;PUERTO GAITAN;INCENDIO FORESTAL;50568;0;0;0;0;0;0;0
1/05/2018;SUCRE;COVEÑAS;MAR DE LEVA;70221;1;0;0;1;0;0;0
1/06/2018;CUNDINAMARCA;GUASCA;INCENDIO FORESTAL;25322;0;0;0;0;0;0;0
1/06/2018;CUNDINAMARCA;VIOTA;CRECIENTE SÚBITA;25878;1;0;0;3;0;0;0
1/06/2018;META;PUERTO LOPEZ;INCENDIO FORESTAL;50573;0;0;0;0;0;0;0
1/06/2018;QUINDIO;SALENTO;OTROS;63690;1;0;0;4;0;0;0
1/06/2018;SANTANDER;FLORIDABLANCA;DESLIZAMIENTO;68276;0;0;0;5;1;1;0
1/07/2018;TOLIMA;VENADILLO;OTROS;73861;1;0;0;1;0;0;0
1/07/2018;VALLE DEL CAUCA;FLORIDA;VENDAVAL;76275;0;0;0;25;5;0;5
1/08/2018;CUNDINAMARCA;LA MESA;INUNDACIÓN;25386;0;0;0;20;4;0;4
1/08/2018;LA GUAJIRA;MANAURE;INCENDIO ESTRUCTURAL;44560;0;0;0;0;0;0;0
1/08/2018;QUINDIO;CALARCA;VENDAVAL;63130;0;5;0;630;42;0;42
1/08/2018;QUINDIO;CALARCA;VENDAVAL;63130;0;0;0;15;3;0;3
1/08/2018;QUINDIO;CORDOBA;VENDAVAL;63212;0;0;0;10;2;0;2
1/08/2018;SANTANDER;GALAN;INCENDIO FORESTAL;68296;0;0;0;0;0;0;0
1/08/2018;SANTANDER;LEBRIJA;ACCIDENTE;68406;1;0;0;2;0;0;0
1/08/2018;SANTANDER;SABANA DE TORRES;INCENDIO FORESTAL;68655;0;0;0;0;0;0;0
1/09/2018;BOGOTA, D.C.;BOGOTA, D.C.;VENDAVAL;11001;0;0;0;506;98;0;98
1/09/2018;BOLIVAR;MONTECRISTO;DESLIZAMIENTO;13458;0;0;0;250;50;0;0
1/09/2018;BOYACA;CHIVATA;ACCIDENTE MINERO;15187;2;0;0;2;0;0;0
1/09/2018;CUNDINAMARCA;CHOACHI;INCENDIO FORESTAL;25181;0;0;0;0;0;0;0
1/09/2018;CUNDINAMARCA;PUERTO SALGAR;INUNDACIÓN;25572;0;0;0;5;1;0;1
1/09/2018;META;PUERTO GAITAN;INCENDIO FORESTAL;50568;0;0;0;0;0;0;0
1/09/2018;RISARALDA;PEREIRA;INCENDIO ESTRUCTURAL;66001;0;0;0;0;0;0;0
1/10/2018;BOGOTA, D.C.;BOGOTA, D.C.;GRANIZADA;11001;0;0;0;21;8;0;8
1/10/2018;CALDAS;MANIZALES;DESLIZAMIENTO;17001;0;0;0;0;0;0;0
1/10/2018;CUNDINAMARCA;ARBELAEZ;INUNDACIÓN;25053;0;0;0;20;4;0;3
1/10/2018;CUNDINAMARCA;FOMEQUE;INCENDIO ESTRUCTURAL;25279;1;0;0;1;1;1;0
1/10/2018;CUNDINAMARCA;VILLAPINZON;VENDAVAL;25873;0;0;0;25;5;0;5
1/10/2018;CUNDINAMARCA;VILLETA;INUNDACIÓN;25875;0;0;0;14;1;0;1
