FECHA;DEPARTAMENTO;MUNICIPIO;TIPO_DE_EVENTO;DIVIPOLA;FALLECIDOS;HERIDOS;DESAPARECIDOS;AFECTADOS;FAMILIAS;VIVIENDAS_DESTRUIDAS;VIVIENDAS_AVERIADAS
1/01/2019;ANTIOQUIA;SAN JERONIMO;INCENDIO ESTRUCTURAL;5656;0;0;0;5;1;1;0
1/01/2019;RISARALDA;MARSELLA;INMERSION;66440;1;0;0;1;0;0;0
1/01/2019;ANTIOQUIA;ANZA;INCENDIO DE COBERTURA VEGETAL;5044;0;0;0;0;0;0;0
1/01/2019;ANTIOQUIA;MONTEBELLO;INCENDIO DE COBERTURA VEGETAL;5467;0;0;0;0;0;0;0
1/01/2019;ANTIOQUIA;CAUCASIA;INCENDIO ESTRUCTURAL;5154;0;1;0;1;1;1;0
1/01/2019;ANTIOQUIA;AMAGA;INCENDIO DE COBERTURA VEGETAL;5030;0;0;0;0;0;0;0
1/01/2019;ANTIOQUIA;SAN VICENTE;INCENDIO DE COBERTURA VEGETAL;5674;0;0;0;0;0;0;0
1/01/2019;MAGDALENA;SANTA MARTA;COLAPSO ESTRUCTURAL;47001;0;0;0;5;1;0;1
1/01/2019;SANTANDER;LOS SANTOS;INCENDIO DE COBERTURA VEGETAL;68418;0;0;0;0;0;0;0
1/01/2019;CUNDINAMARCA;ZIPAQUIRA;INCENDIO DE COBERTURA VEGETAL;25899;0;0;0;0;0;0;0
1/02/2019;META;VISTAHERMOSA;INCENDIO DE COBERTURA VEGETAL;50711;0;0;0;0;0;0;0
1/01/2019;ANTIOQUIA;LA CEJA;INCENDIO DE COBERTURA VEGETAL;5376;0;0;0;0;0;0;0
1/01/2019;ANTIOQUIA;MEDELLIN;INCENDIO DE COBERTURA VEGETAL;5001;0;0;0;0;0;0;0
1/02/2019;BOYACA;BOAVITA;INCENDIO DE COBERTURA VEGETAL;15097;0;0;0;0;0;0;0
1/02/2019;GUAINIA;INIRIDA;INCENDIO DE COBERTURA VEGETAL;94001;0;0;0;0;0;0;0
1/01/2019;CUNDINAMARCA;VILLETA;INCENDIO DE COBERTURA VEGETAL;25875;0;0;0;0;0;0;0
1/01/2019;CUNDINAMARCA;VILLETA;INCENDIO DE COBERTURA VEGETAL;25875;0;0;0;0;0;0;0
1/01/2019;CUNDINAMARCA;BITUIMA;INCENDIO DE COBERTURA VEGETAL;25095;0;0;0;0;0;0;0
1/01/2019;CUNDINAMARCA;VILLETA;INCENDIO ESTRUCTURAL;25875;0;0;0;5;1;0;1
1/02/2019;BOYACA;SOATA;INCENDIO DE COBERTURA VEGETAL;15753;0;0;0;0;0;0;0
1/02/2019;BOYACA;SATIVANORTE;INCENDIO DE COBERTURA VEGETAL;15720;0;0;0;0;0;0;0
1/02/2019;BOYACA;JERICO;INCENDIO DE COBERTURA VEGETAL;15368;0;0;0;0;0;0;0
1/02/2019;BOYACA;RAMIRIQUI;INCENDIO DE COBERTURA VEGETAL;15599;0;0;0;0;0;0;0
1/02/2019;BOYACA;PAIPA;INCENDIO DE COBERTURA VEGETAL;15516;0;0;0;0;0;0;0
1/02/2019;SUCRE;COVEÑAS;INCENDIO DE COBERTURA VEGETAL;70221;0;0;0;0;0;0;0
1/01/2019;BOYACA;SAN MATEO;INCENDIO DE COBERTURA VEGETAL;15673;0;0;0;0;0;0;0
1/02/2019;BOYACA;VENTAQUEMADA;INCENDIO DE COBERTURA VEGETAL;15861;0;0;0;0;0;0;0
1/01/2019;CUNDINAMARCA;LA CALERA;INCENDIO DE COBERTURA VEGETAL;25377;0;0;0;0;0;0;0
1/02/2019;CUNDINAMARCA;FUQUENE;INCENDIO DE COBERTURA VEGETAL;25288;0;0;0;0;0;0;0
1/02/2019;CUNDINAMARCA;FOMEQUE;INCENDIO DE COBERTURA VEGETAL;25279;0;0;0;0;0;0;0
1/01/2019;CUNDINAMARCA;ZIPAQUIRA;INCENDIO DE COBERTURA VEGETAL;25899;0;0;0;0;0;0;0
1/01/2019;CUNDINAMARCA;PACHO;INCENDIO DE COBERTURA VEGETAL;25513;0;0;0;0;0;0;0
1/01/2019;CUNDINAMARCA;NOCAIMA;INCENDIO DE COBERTURA VEGETAL;25491;0;0;0;0;0;0;0
1/01/2019;CUNDINAMARCA;TOCAIMA;INCENDIO DE COBERTURA VEGETAL;25815;0;0;0;0;0;0;0
1/02/2019;CUNDINAMARCA;SASAIMA;INCENDIO DE COBERTURA VEGETAL;25718;0;0;0;0;0;0;0
